id	filename	md5	size	state
68440d00-8a5a-4de2-aab4-62b1fdd851ad	nationwidechildrens.org_clinical.TCGA-BJ-A192.xml	74dc28731414103b88929451df8006fb	40161	released
604cab68-e13a-4079-b527-cad35f4283ee	nationwidechildrens.org_clinical.TCGA-DJ-A3V0.xml	80adbb2bfcabb3fab9b58045920967e1	52994	released
a8c4732d-f010-4f1f-bba2-b3c16d89ddf4	nationwidechildrens.org_clinical.TCGA-EM-A2P2.xml	d2c7760870e77cbe712a5968386ee4d5	45252	released
0cb21598-4322-42af-a234-f33a695ebe07	TCGA-DJ-A3V0.F391F61B-413E-445F-A4AB-E6EA65B57DB3.PDF	31ed3290d9ef69edd80316ada5517c08	234565	released
5f233f13-9d8f-47cb-b509-9ec28277380b	nationwidechildrens.org_clinical.TCGA-EL-A3D1.xml	ac2c11526676b66d634c9bf7b5d03c7a	51723	released
2b625df4-026b-485f-8a93-400df111eba2	TCGA-BJ-A45G.4B23A4BB-14FC-4A52-A148-0739020C65AA.PDF	7b10f43c6b578575fc96579a6ecc0d3c	92106	released
c90bf287-3ea5-4144-a990-46c667091101	nationwidechildrens.org_clinical.TCGA-BJ-A28V.xml	b1932b5feeb970eb8926d3018bff84e1	39542	released
5f2cd942-617a-4e04-949c-a53d37c81c06	TCGA-FY-A3R7.1D97E5A9-0629-4545-9BCE-2E7729C031A8.PDF	d247abb5a47e918623f71f0a85461d81	160281	released
1957151b-b635-4440-8876-5b3801aa7f29	TCGA-BJ-A28V.8CE75929-8C0F-4ED0-847C-DC3A442147F6.PDF	5fb9963a8a96defbddd1160ce69b5f4a	84439	released
a9a90952-6815-43a1-b994-13f33e6b6512	nationwidechildrens.org_clinical.TCGA-FY-A3R7.xml	5ae1a751278fe62536d31b0c9016e90d	46786	released
e3710d0f-cda0-48ac-9e5c-eab52b653440	nationwidechildrens.org_clinical.TCGA-ET-A25O.xml	fba96f0d9ee34f6b5596fcc1d01927ac	58179	released
a462a1ab-53ee-4eb9-b9f6-978efa665ca6	TCGA-DJ-A3UR.BB1A0D13-F803-43E4-AD87-34E37B6932FD.PDF	0d507b8bdc14ac2f9387c752239d4951	152962	released
aec6302e-c595-4bbd-ba41-c6f3da2b64d9	nationwidechildrens.org_clinical.TCGA-EM-A22N.xml	7892d8cd50c12eef69206c3986ba204a	40319	released
9bdc2657-62cb-4038-8a54-7a8acddf1327	TCGA-EM-A22N.B3E28081-82CE-471C-BDC7-78EAB3613AFE.PDF	5cd92edadbefa5f06a4c0a9488861652	164604	released
d1a8b3e8-0138-4c3a-9586-fdc6b221c34d	TCGA-DE-A0Y3.1D87503D-1F7D-4545-B579-EF9426B02B5A.PDF	64399c29871d9317321c36a38c1a7da1	214117	released
e3f1d495-e84a-4fa5-b4a2-6643b0057198	TCGA-FY-A3BL.410839D6-B990-415C-A2C8-2AAC60C02E9B.PDF	042b27299e44966a12e05d3d106a4783	89883	released
19de8ff2-5a4f-4417-92cc-c20653c5506b	TCGA-QD-A8IV.9B35F0B4-C4E1-4EC4-9B58-550AC430984D.PDF	ce5f9c6906b6889e2969a5af39748043	349375	released
1f0e4610-f36b-4df5-a505-e1cce7832d85	TCGA-FY-A3R8.1A79B4F7-8315-450C-A1E9-BAA89C6E9001.PDF	cf9e179a961d3b3df24b14238e799ac1	232585	released
