Accuracy,F1,Precision,Recall,Model,Split,Field
0.9878048780487805,0.9938650306748466,1.0,0.9878048780487805,gpt-oss-120b,dev,histologic_type
0.8658536585365854,0.8776598461909979,0.8938196864111498,0.8658536585365854,gpt-oss-120b,dev,histologic_variant
0.8780487804878049,0.8852416378548783,0.9037514274513815,0.8780487804878049,gpt-oss-120b,dev,extrathyroidal_extension
0.8292682926829268,0.8800293416467999,0.9434771545927084,0.8292682926829268,gpt-oss-120b,dev,margins
0.8170731707317073,0.7526471157568718,0.6977995395549031,0.8170731707317073,gpt-oss-120b,dev,tumor_site
0.8780487804878049,0.878927708196001,0.8891986062717769,0.8780487804878049,gpt-oss-120b,dev,focality
0.9146341463414634,0.9314750290360047,0.9489980099041977,0.9146341463414634,gpt-oss-120b,dev,lymph_nodes_resected
0.8536585365853658,0.8549097244219195,0.8902439024390244,0.8536585365853658,gpt-oss-120b,dev,tumor_size
0.7073170731707317,0.6495435228940997,0.6776607538802661,0.7073170731707317,gpt-oss-120b,dev,lymph_nodes_positive_count
